Loaded parameters to layer 'conv1' (shape 50x4x3x3).
Loaded parameters to layer 'conv1' (shape 50).
Loaded parameters to layer 'conv2' (shape 50x50x3x3).
Loaded parameters to layer 'conv2' (shape 50).
Loaded parameters to layer 'nin1' (shape 30x50x1x1).
Loaded parameters to layer 'nin1' (shape 30).
Loaded parameters to layer 'conv3' (shape 50x30x3x3).
Loaded parameters to layer 'conv3' (shape 50).
Loaded parameters to layer 'conv4' (shape 50x50x3x3).
Loaded parameters to layer 'conv4' (shape 50).
Loaded parameters to layer 'nin2' (shape 30x50x1x1).
Loaded parameters to layer 'nin2' (shape 30).
Loaded parameters to layer 'conv5' (shape 50x30x3x3).
Loaded parameters to layer 'conv5' (shape 50).
Loaded parameters to layer 'output' (shape 450x1024).
Loaded parameters to layer 'output' (shape 1024).
# Neural Network with 538934 learnable parameters

## Layer information

  #  name    size
---  ------  --------
  0  input   4x32x32
  1  conv1   50x30x30
  2  conv2   50x28x28
  3  nin1    30x28x28
  4  pool1   30x14x14
  5  conv3   50x12x12
  6  conv4   50x10x10
  7  nin2    30x10x10
  8  pool2   30x5x5
  9  conv5   50x3x3
 10  output  1024

  epoch    trn loss    val loss    trn/val  dur
going through lines took (row-col complete):  2.73851704597 sec.
put mean in middle of segments  1.98359799385
going through lines took (row-col complete):  5.47682094574 sec.
put mean in middle of segments  0.870964050293
going through lines took (row-col complete):  3.19373297691 sec.
put mean in middle of segments  0.483951807022
going through lines took (row-col complete):  1.22679281235 sec.
put mean in middle of segments  0.453799009323
going through lines took (row-col complete):  1.54175400734 sec.
put mean in middle of segments  1.1481449604
going through lines took (row-col complete):  3.62492418289 sec.
put mean in middle of segments  0.425728082657
going through lines took (row-col complete):  2.99113702774 sec.
put mean in middle of segments  1.13326597214
going through lines took (row-col complete):  4.77488303185 sec.
put mean in middle of segments  1.57931017876
going through lines took (row-col complete):  2.76533198357 sec.
put mean in middle of segments  1.03960990906
going through lines took (row-col complete):  3.91099309921 sec.
put mean in middle of segments  0.757259130478
going through lines took (row-col complete):  2.03999114037 sec.
put mean in middle of segments  1.12973308563
going through lines took (row-col complete):  3.46716213226 sec.
put mean in middle of segments  0.180277109146
going through lines took (row-col complete):  0.730688095093 sec.
put mean in middle of segments  1.14445495605
going through lines took (row-col complete):  4.83398199081 sec.
put mean in middle of segments  0.352365016937
going through lines took (row-col complete):  1.03350901604 sec.
put mean in middle of segments  1.13260197639
going through lines took (row-col complete):  6.23700118065 sec.
put mean in middle of segments  0.619932889938
going through lines took (row-col complete):  2.06903791428 sec.
put mean in middle of segments  2.14848208427
going through lines took (row-col complete):  4.62413311005 sec.
put mean in middle of segments  1.14074015617
going through lines took (row-col complete):  5.72520494461 sec.
put mean in middle of segments  1.05618000031
going through lines took (row-col complete):  3.60049104691 sec.
put mean in middle of segments  1.20898222923
going through lines took (row-col complete):  4.08291816711 sec.
put mean in middle of segments  1.1350209713
going through lines took (row-col complete):  3.77850413322 sec.
put mean in middle of segments  0.36349606514
going through lines took (row-col complete):  1.65735411644 sec.
put mean in middle of segments  1.12864494324
going through lines took (row-col complete):  3.76161003113 sec.
put mean in middle of segments  1.12995505333
going through lines took (row-col complete):  3.93245315552 sec.
put mean in middle of segments  0.281147003174
going through lines took (row-col complete):  1.14527511597 sec.
put mean in middle of segments  0.319031000137
going through lines took (row-col complete):  0.917412996292 sec.
put mean in middle of segments  1.14078712463
going through lines took (row-col complete):  4.85849094391 sec.
put mean in middle of segments  0.537698984146
going through lines took (row-col complete):  2.23523712158 sec.
put mean in middle of segments  0.227159976959
going through lines took (row-col complete):  0.853049993515 sec.
put mean in middle of segments  0.692778110504
going through lines took (row-col complete):  2.85497999191 sec.
put mean in middle of segments  0.909991979599
going through lines took (row-col complete):  2.51977396011 sec.
put mean in middle of segments  1.83188796043
going through lines took (row-col complete):  5.67447710037 sec.
put mean in middle of segments  1.15850901604
going through lines took (row-col complete):  4.8645927906 sec.
